Command: python evaluate.py --model_input_dir ./input_data/benchmark_v4 --model_output_dir input_data/results/sonic --results_dir ./sonic_arcface --evaluate_subjects arcface_consistency --device cuda:7 --batch_size 16 --sampling 0 --model_args {} --group_id 5 --group_total 10 --filter human
GPU: 7
============================================================

/home/tione/notebook/private/Human-MME/video_venv/lib/python3.10/site-packages/albumentations/check_version.py:147: UserWarning: Error fetching version info The read operation timed out
  data = fetch_version_info()
Using hash-based file partitioning: group 5 of 10
Running evaluation for subject: arcface_consistency
Available ONNX Runtime providers: ['MIGraphXExecutionProvider', 'ROCMExecutionProvider', 'CPUExecutionProvider']
Using MIGraphXExecutionProvider
Applied providers: ['MIGraphXExecutionProvider', 'CPUExecutionProvider'], with options: {'CPUExecutionProvider': {}, 'MIGraphXExecutionProvider': {'migraphx_exhaustive_tune': '0', 'migraphx_arena_extend_strategy': 'kNextPowerOfTwo', 'migraphx_fp16_enable': '0', 'migraphx_fp8_enable': '0', 'migraphx_external_free': '0', 'migraphx_mem_limit': '18446744073709551615', 'migraphx_bf16_enable': '0', 'migraphx_int8_enable': '0', 'migraphx_external_alloc': '0', 'device_id': '0', 'migraphx_model_cache_dir': '""', 'migraphx_external_empty_cache': '0'}}
find model: /root/.insightface/models/buffalo_l/1k3d68.onnx landmark_3d_68 ['None', 3, 192, 192] 0.0 1.0
Applied providers: ['MIGraphXExecutionProvider', 'CPUExecutionProvider'], with options: {'CPUExecutionProvider': {}, 'MIGraphXExecutionProvider': {'migraphx_exhaustive_tune': '0', 'migraphx_arena_extend_strategy': 'kNextPowerOfTwo', 'migraphx_fp16_enable': '0', 'migraphx_fp8_enable': '0', 'migraphx_external_free': '0', 'migraphx_mem_limit': '18446744073709551615', 'migraphx_bf16_enable': '0', 'migraphx_int8_enable': '0', 'migraphx_external_alloc': '0', 'device_id': '0', 'migraphx_model_cache_dir': '""', 'migraphx_external_empty_cache': '0'}}
find model: /root/.insightface/models/buffalo_l/2d106det.onnx landmark_2d_106 ['None', 3, 192, 192] 0.0 1.0
Applied providers: ['MIGraphXExecutionProvider', 'CPUExecutionProvider'], with options: {'CPUExecutionProvider': {}, 'MIGraphXExecutionProvider': {'migraphx_exhaustive_tune': '0', 'migraphx_arena_extend_strategy': 'kNextPowerOfTwo', 'migraphx_fp16_enable': '0', 'migraphx_fp8_enable': '0', 'migraphx_external_free': '0', 'migraphx_mem_limit': '18446744073709551615', 'migraphx_bf16_enable': '0', 'migraphx_int8_enable': '0', 'migraphx_external_alloc': '0', 'device_id': '0', 'migraphx_model_cache_dir': '""', 'migraphx_external_empty_cache': '0'}}
find model: /root/.insightface/models/buffalo_l/det_10g.onnx detection [1, 3, '?', '?'] 127.5 128.0
Applied providers: ['MIGraphXExecutionProvider', 'CPUExecutionProvider'], with options: {'CPUExecutionProvider': {}, 'MIGraphXExecutionProvider': {'migraphx_exhaustive_tune': '0', 'migraphx_arena_extend_strategy': 'kNextPowerOfTwo', 'migraphx_fp16_enable': '0', 'migraphx_fp8_enable': '0', 'migraphx_external_free': '0', 'migraphx_mem_limit': '18446744073709551615', 'migraphx_bf16_enable': '0', 'migraphx_int8_enable': '0', 'migraphx_external_alloc': '0', 'device_id': '0', 'migraphx_model_cache_dir': '""', 'migraphx_external_empty_cache': '0'}}
find model: /root/.insightface/models/buffalo_l/genderage.onnx genderage ['None', 3, 96, 96] 0.0 1.0
Applied providers: ['MIGraphXExecutionProvider', 'CPUExecutionProvider'], with options: {'CPUExecutionProvider': {}, 'MIGraphXExecutionProvider': {'migraphx_exhaustive_tune': '0', 'migraphx_arena_extend_strategy': 'kNextPowerOfTwo', 'migraphx_fp16_enable': '0', 'migraphx_fp8_enable': '0', 'migraphx_external_free': '0', 'migraphx_mem_limit': '18446744073709551615', 'migraphx_bf16_enable': '0', 'migraphx_int8_enable': '0', 'migraphx_external_alloc': '0', 'device_id': '0', 'migraphx_model_cache_dir': '""', 'migraphx_external_empty_cache': '0'}}
find model: /root/.insightface/models/buffalo_l/w600k_r50.onnx recognition ['None', 3, 112, 112] 127.5 127.5
set det-size: (640, 640)

Evaluating ArcFace Consistency:   0%|          | 0/16 [00:00<?, ?it/s]

Extracting ArcFace Features:   0%|          | 0/37 [00:00<?, ?it/s][Aerror: unknown warning option '-Wnrvo' [-Werror,-Wunknown-warning-option]

/home/tione/notebook/private/Human-MME/video_venv/lib/python3.10/site-packages/insightface/utils/transform.py:68: FutureWarning: `rcond` parameter will change to the default of machine precision times ``max(M, N)`` where M and N are the input matrix dimensions.
To use the future default and silence this warning we advise to pass `rcond=None`, to keep using the old, explicitly pass `rcond=-1`.
  P = np.linalg.lstsq(X_homo, Y)[0].T # Affine matrix. 3 x 4


Extracting ArcFace Features:   3%|▎         | 1/37 [03:04<1:50:30, 184.17s/it][A

Extracting ArcFace Features:   5%|▌         | 2/37 [03:04<44:20, 76.00s/it]   [A

Extracting ArcFace Features:   8%|▊         | 3/37 [03:04<23:28, 41.43s/it][A

Extracting ArcFace Features:  11%|█         | 4/37 [03:05<13:50, 25.18s/it][A

Extracting ArcFace Features:  14%|█▎        | 5/37 [03:05<08:38, 16.20s/it][A

Extracting ArcFace Features:  16%|█▌        | 6/37 [03:05<05:34, 10.79s/it][A

Extracting ArcFace Features:  19%|█▉        | 7/37 [03:05<03:40,  7.35s/it][A

Extracting ArcFace Features:  22%|██▏       | 8/37 [03:06<02:27,  5.09s/it][A

Extracting ArcFace Features:  24%|██▍       | 9/37 [03:06<01:40,  3.59s/it][A

Extracting ArcFace Features:  27%|██▋       | 10/37 [03:06<01:09,  2.56s/it][A

Extracting ArcFace Features:  30%|██▉       | 11/37 [03:06<00:48,  1.86s/it][A

Extracting ArcFace Features:  32%|███▏      | 12/37 [03:07<00:34,  1.38s/it][A

Extracting ArcFace Features:  35%|███▌      | 13/37 [03:07<00:25,  1.04s/it][A

Extracting ArcFace Features:  38%|███▊      | 14/37 [03:07<00:18,  1.24it/s][A

Extracting ArcFace Features:  41%|████      | 15/37 [03:07<00:14,  1.55it/s][A

Extracting ArcFace Features:  43%|████▎     | 16/37 [03:08<00:11,  1.88it/s][A

Extracting ArcFace Features:  46%|████▌     | 17/37 [03:08<00:09,  2.20it/s][A

Extracting ArcFace Features:  49%|████▊     | 18/37 [03:08<00:07,  2.50it/s][A

Extracting ArcFace Features:  51%|█████▏    | 19/37 [03:09<00:06,  2.77it/s][A

Extracting ArcFace Features:  54%|█████▍    | 20/37 [03:09<00:05,  3.00it/s][A

Extracting ArcFace Features:  57%|█████▋    | 21/37 [03:09<00:05,  3.18it/s][A

Extracting ArcFace Features:  59%|█████▉    | 22/37 [03:09<00:04,  3.32it/s][A

Extracting ArcFace Features:  62%|██████▏   | 23/37 [03:10<00:04,  3.43it/s][A

Extracting ArcFace Features:  65%|██████▍   | 24/37 [03:10<00:03,  3.50it/s][A

Extracting ArcFace Features:  68%|██████▊   | 25/37 [03:10<00:03,  3.55it/s][A

Extracting ArcFace Features:  70%|███████   | 26/37 [03:10<00:03,  3.57it/s][A

Extracting ArcFace Features:  73%|███████▎  | 27/37 [03:11<00:02,  3.60it/s][A

Extracting ArcFace Features:  76%|███████▌  | 28/37 [03:11<00:02,  3.65it/s][A

Extracting ArcFace Features:  78%|███████▊  | 29/37 [03:11<00:02,  3.69it/s][A

Extracting ArcFace Features:  81%|████████  | 30/37 [03:12<00:01,  3.72it/s][A

Extracting ArcFace Features:  84%|████████▍ | 31/37 [03:12<00:01,  3.74it/s][A

Extracting ArcFace Features:  86%|████████▋ | 32/37 [03:12<00:01,  3.75it/s][A

Extracting ArcFace Features:  89%|████████▉ | 33/37 [03:12<00:01,  3.76it/s][A

Extracting ArcFace Features:  92%|█████████▏| 34/37 [03:13<00:00,  3.77it/s][A

Extracting ArcFace Features:  95%|█████████▍| 35/37 [03:13<00:00,  3.78it/s][A

Extracting ArcFace Features:  97%|█████████▋| 36/37 [03:13<00:00,  3.78it/s][A

                                                                            [A
Evaluating ArcFace Consistency:   6%|▋         | 1/16 [03:14<48:40, 194.73s/it]

Extracting ArcFace Features:   0%|          | 0/38 [00:00<?, ?it/s][A

Extracting ArcFace Features:   3%|▎         | 1/38 [00:00<00:09,  3.76it/s][A

Extracting ArcFace Features:   5%|▌         | 2/38 [00:00<00:09,  3.79it/s][A

Extracting ArcFace Features:   8%|▊         | 3/38 [00:00<00:09,  3.80it/s][A

Extracting ArcFace Features:  11%|█         | 4/38 [00:01<00:08,  3.80it/s][A

Extracting ArcFace Features:  13%|█▎        | 5/38 [00:01<00:08,  3.80it/s][A

Extracting ArcFace Features:  16%|█▌        | 6/38 [00:01<00:08,  3.80it/s][A

Extracting ArcFace Features:  18%|█▊        | 7/38 [00:01<00:08,  3.80it/s][A

Extracting ArcFace Features:  21%|██        | 8/38 [00:02<00:07,  3.80it/s][A

